"text";"screenName";"created"
"<U+0001F449><U+0001F3FB><U+0001F449><U+0001F3FB> https://t.co/A454NB9GFS";"CarlosBolsonaro";2019-03-16 00:39:22
"Essa estratégia de vitimização, mentiras, ressucitações ou políticas sujas não são nada ao acaso! São estratégias m… https://t.co/2jj24RUoT8";"CarlosBolsonaro";2019-03-16 00:38:31
"Grande vitória! Mais um dos muitos passos deste governo que trarão muito desenvolvimento ao Brasil! https://t.co/eGzbCLv8Kc";"CarlosBolsonaro";2019-03-15 20:42:56
"Parabenizo meu irmão @BolsonaroSP , pela eleição de Presidente da Comissão de Relações Internacionais e Defesa Naci… https://t.co/u90ffRRYW5";"CarlosBolsonaro";2019-03-14 21:06:52
"Fora a economia, imagino o tamanho do desaparelhamento, apenas inicial! https://t.co/TupETSEUqC";"CarlosBolsonaro";2019-03-14 16:03:47
"É legal ver nas redes sociais, infelizmente só nelas, os ministros indo aos estados, independentemente dos partidos… https://t.co/c2WlL0sjt9";"CarlosBolsonaro";2019-03-14 12:40:37
"Segue a entrevista com @LedaNagle , a mãe do grande @DudaNagle . Quem dera se todo jornalista fossem assim para o p… https://t.co/64d5JCZe9n";"CarlosBolsonaro";2019-03-14 00:12:43
"Aos familiares das vítimas desse crime brutal e horrendo ocorrido em Suzano, meus sinceros sentimentos! Que Deus os… https://t.co/NFiTSZtTRn";"CarlosBolsonaro";2019-03-13 21:00:28
"Cresce Brasil!!!! https://t.co/u1nySKG1N8";"CarlosBolsonaro";2019-03-13 15:51:09
"Emprego, desenvolvimento social
e econômico para o estado do RJ! Obrigado Governo Bolsonaro! Aos poucos vamos mudan… https://t.co/M5HWmQ86Q4";"CarlosBolsonaro";2019-03-12 23:37:33
"Que notícia e trabalho bacanas! <U+0001F44D><U+0001F3FB>! https://t.co/Jtq0MiIOPD";"CarlosBolsonaro";2019-03-12 20:12:50
"Que seja desvendado mais um crime absurdo. Simples! https://t.co/pUb71Ai3Em";"CarlosBolsonaro";2019-03-12 20:02:21
"Uma satisfação enorme, Duda. Um grande abraço à fantástica mãe que tem. Quinta no ar a entrevista com @LedaNagle https://t.co/uQH1KHDN3O";"CarlosBolsonaro";2019-03-12 18:05:10
"Olha quem está contra a nova previdência. A que acaba com os benefícios de aposentadorias de políticos, quem ganha… https://t.co/xbTlxrrn8X";"CarlosBolsonaro";2019-03-12 10:45:41
"O modus operandi da imprensa militante: 

1) Fala que o governo contratou novo coordenador das redes sociais após ""… https://t.co/65NKpgYhx3";"CarlosBolsonaro";2019-03-11 21:59:59
"Percebam que esta lorota de exílio em outros países só aumenta. Isso lembra outro momento do Brasil e que lá na fre… https://t.co/W7VYYSWGGo";"CarlosBolsonaro";2019-03-11 20:28:59
"E olha que isso foi o Congresso que aprovou antes de Bolsonaro assumir como Presidente da República. https://t.co/Nt2eaHnyoO";"CarlosBolsonaro";2019-03-11 20:17:24
"Aonde estão os “representantes das entidades democráticas” para repudiar esta fakenews? Esqueci! Todas apoiam o PT… https://t.co/bNLakdrPKY";"CarlosBolsonaro";2019-03-11 20:13:35
"Quando o Presidente fala em ideologização das instituições de ensino, esquecem que a estrutura do estado vai muito… https://t.co/MkxiQ9ygrk";"CarlosBolsonaro";2019-03-11 17:32:50
"Como dizer que esta fala de editor de revista está distorcida? Aguardo ansioso porque sei que dirão que está! <U+0001F602> https://t.co/JnQvA45z9W";"CarlosBolsonaro";2019-03-11 15:27:36
"Nosso litoral agradece! Este tipo de ação dá início à conscientização da população, preservação, o turismo conscien… https://t.co/0XxLGYAxsX";"CarlosBolsonaro";2019-03-11 12:25:29
"O remédio é amargo, mas precisa ser dito para curar! O primeiro passo é entendimento do palco que foi montado propo… https://t.co/K44lYFo4l2";"CarlosBolsonaro";2019-03-11 11:35:08
"Nota 10! https://t.co/ixPwrXWAR4";"CarlosBolsonaro";2019-03-11 00:46:55
"A Ministra @DamaresAlves bloqueia dezenas de milhões em bitcoins destinados para órgãos governamentais ligados a FU… https://t.co/0VWQTM3QA2";"CarlosBolsonaro";2019-03-10 17:31:36
"<U+0001F44D><U+0001F3FB><U+0001F91D><U+261D><U+0001F3FB><U+261D><U+0001F3FB> https://t.co/lTvApISm2c";"CarlosBolsonaro";2019-03-10 15:03:54
"Boas notícias para o Brasil a caminho! https://t.co/P9YbU7TWKj";"CarlosBolsonaro";2019-03-09 23:21:10
